date,daily_electrical_consumption
2016-08-08,2008803.0
2016-08-09,2331247.0
2016-08-10,2204257.0
2016-08-11,3265409.0
2016-08-12,3402550.0
2016-08-13,1896806.0
2016-08-14,1778501.0
2016-08-15,1822403.0
2016-08-16,2071016.0
2016-08-17,2107368.0
2016-08-18,2104689.0
2016-08-19,2096734.0
2016-08-20,1913657.0
2016-08-21,1777435.0
2016-08-22,2108156.0
2016-08-23,2226286.0
2016-08-24,2274897.0
2016-08-25,2308960.0
2016-08-26,2300649.0
2016-08-27,2075933.0
2016-08-28,1908760.0
2016-08-29,2232851.0
2016-08-30,2293431.0
2016-08-31,2319030.0
2016-09-01,2854907.0
2016-09-02,3225346.0
2016-09-03,3384644.0
2016-09-04,2561166.0
2016-09-05,2252905.0
2016-09-06,2235006.0
2016-09-07,2077110.0
2016-09-08,2025396.0
2016-09-09,2304757.0
2016-09-10,2116815.0
2016-09-11,3254404.0
2016-09-12,3326998.0
2016-09-13,2343070.0
2016-09-14,2308325.0
2016-09-15,2279698.0
2016-09-16,2247218.0
2016-09-17,1987833.0
2016-09-18,1885476.0
2016-09-19,2223423.0
2016-09-20,2277646.0
2016-09-21,2280250.0
2016-09-22,2283439.0
2016-09-23,2256701.0
2016-09-24,2001202.0
2016-09-25,1872199.0
2016-09-26,2228237.0
2016-09-27,2294694.0
2016-09-28,2292341.0
2016-09-29,2293463.0
2016-09-30,2271919.0
2016-10-01,2783922.0
2016-10-02,3370686.0
2016-10-03,3332218.0
2016-10-04,2362678.0
2016-10-05,2319116.0
2016-10-06,2203791.0
2016-10-07,1951960.0
2016-10-08,1998380.0
2016-10-09,2040340.0
2016-10-10,2561824.0
2016-10-11,3133556.0
2016-10-12,3084960.0
2016-10-13,2782183.0
2016-10-14,2722266.0
2016-10-15,2352401.0
2016-10-16,2185510.0
2016-10-17,2509691.0
2016-10-18,2590777.0
2016-10-19,2664273.0
2016-10-20,2700731.0
2016-10-21,2707383.0
2016-10-22,2482419.0
2016-10-23,2385132.0
2016-10-24,2626207.0
2016-10-25,2633202.0
2016-10-26,2649091.0
2016-10-27,2674198.0
2016-10-28,2675734.0
2016-10-29,2412161.0
2016-10-30,2269376.0
2016-10-31,2463233.0
2016-11-01,3186708.0
2016-11-02,3375458.0
2016-11-03,3234622.0
2016-11-04,2598571.0
2016-11-05,2343317.0
2016-11-06,1953912.0
2016-11-07,2276981.0
2016-11-08,2006558.0
2016-11-09,1910115.0
2016-11-10,2665231.0
2016-11-11,2772817.0
2016-11-12,2946352.0
2016-11-13,2705963.0
2016-11-14,3086143.0
2016-11-15,3117646.0
2016-11-16,3024010.0
2016-11-17,2965437.0
2016-11-18,2974989.0
2016-11-19,2782527.0
2016-11-20,2585245.0
2016-11-21,2846423.0
2016-11-22,2959557.0
2016-11-23,2960391.0
2016-11-24,2941696.0
2016-11-25,2991520.0
2016-11-26,2755569.0
2016-11-27,2675965.0
2016-11-28,3189771.0
2016-11-29,3476686.0
2016-11-30,3511123.0
2016-12-01,3326144.0
2016-12-02,3388769.0
2016-12-03,2904601.0
2016-12-04,2608437.0
2016-12-05,2363898.0
2016-12-06,1842217.0
2016-12-07,2292713.0
2016-12-08,2025153.0
2016-12-09,2280347.0
2016-12-10,2731866.0
2016-12-11,2891628.0
2016-12-12,3288489.0
2016-12-13,3338893.0
2016-12-14,3329055.0
2016-12-15,3369534.0
2016-12-16,3251100.0
2016-12-17,3085016.0
2016-12-18,3072075.0
2016-12-19,3477711.0
2016-12-20,3495067.0
2016-12-21,3472140.0
2016-12-22,3318506.0
2016-12-23,3190348.0
2016-12-24,2822451.0
2016-12-25,2579144.0
2016-12-26,2785587.0
2016-12-27,3045824.0
2016-12-28,3211529.0
2016-12-29,3378211.0
2016-12-30,3478180.0
2016-12-31,3450785.0
2017-01-01,3303237.0
2017-01-02,3171551.0
2017-01-03,3240128.0
2017-01-04,2255307.0
2017-01-05,2219801.0
2017-01-06,2296519.0
2017-01-07,1998032.0
